frame_num,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,3.0,[752.872314453125 1369.2108154296875 1430.780517578125 1982.91064453125],[973.765625 1753.3370361328125 1199.72802734375 1851.6199951171875],0.565712571144104,OA13NRU,0.31111454698547064
1,5.0,[2197.3992701546013 1154.2835435957104 2785.5587234171753 1736.5470030710435],[2407.91455078125 1551.371337890625 2576.935546875 1638.369873046875],0.5950815081596375,MU51KSU,0.12425746087702963
1,3.0,[752.763898812428 1369.2585762064925 1430.435975535132 1982.8932762263496],[973.757080078125 1753.3359375 1199.621337890625 1851.615234375],0.5656630992889404,OA13NRU,0.18627882884079347
2,5.0,[2201.1788933623575 1163.4533141871298 2783.9078446580797 1740.852106515461],[2411.8359375 1549.122802734375 2583.56640625 1641.93603515625],0.5861988067626953,HV51VSU,0.20408029170235567
4,3.0,[749.0851468036035 1380.2562746080816 1430.1694572522247 2000.7945260438696],[963.6485595703125 1783.3861083984375 1184.638916015625 1873.4183349609375],0.4999427795410156,NA13NRU,0.46606421649012747
4,5.0,[2196.69990030976 1171.529200988093 2784.998078685904 1751.7260189474043],[2410.7353515625 1562.9150390625 2585.17041015625 1653.1937255859375],0.42640000581741333,HU51KSU,0.2126183383595926
5,5.0,[2194.0966233408444 1174.1966887703206 2789.763901228718 1755.626018477048],[2411.28271484375 1562.439453125 2586.2568359375 1652.39111328125],0.49761343002319336,HU51VSU,0.41064862763462867
8,5.0,[2189.133182145383 1176.7713732785842 2789.4468878919743 1762.0338153048829],[2416.160888671875 1575.29638671875 2587.7529296875 1653.5283203125],0.5656305551528931,MO51YSU,0.08182164199321174
9,5.0,[2190.6487143601744 1175.7444613033815 2792.2374711228613 1764.4548820979392],[2414.810546875 1579.6453857421875 2589.49755859375 1661.1383056640625],0.5821932554244995,KT53YSU,0.058135670246413675
9,3.0,[737.1985412769651 1396.0504653908679 1425.60836316135 2026.1469254553704],[939.8256225585938 1790.5682373046875 1188.2001953125 1892.2584228515625],0.3869597911834717,NA13NRU,0.3916776562153381
